Failed Searches in Primo,,,,,,
zero-search2425,,,,,,
,,,,,,
Searches,Search String,User Group,Field Searched,Sticky Facets Used,Search Scope Type,Search Scope
6,"Sutton, S. G. (2000). The changing face of accounting in an information technology dominated world. International Journal of Accounting Information Systems, 1(1), 1-8",Gradstudent,any,0,Blended,Books_More
6,"The Cat is Out of the Bag: Orientalism, Blackness, and White Supremacy in Children’s Books",GUEST,any,0,Blended,Books_More
6,The Future of Well-Being in a Tech-Saturated World,GUEST,any,0,Blended,Books_More
6,The robots are coming... but aren't here yet: The use of artificial intelligence technologies in the public accounting profession,GUEST,any,0,Blended,Books_More
6,beverloo,GUEST,creator,0,Blended,Books_More
6,http://www.ijrar.com/upload_issue/ijrar_issue_20544358.pdf,Gradstudent,any,0,Blended,Books_More
6,https://library.uoh.edu.iq/admin/ebooks/22831-quantum_computer_science.pdf,GUEST,any,0,Blended,Books_More
6,https://www.sciencedirect.com/science/article/abs/pii/S0074774217301034?via=ihub,GUEST,any,0,Blended,Books_More
6,lever and putnam 2013,GUEST,any,0,Blended,Books_More
6,sensiomotor impairments stroke,Gradstudent,any,0,Blended,Books_More
6,the narangansett dawn,GUEST,any,0,Blended,Books_More
5,"""991540015502396""",GUEST,any,0,Blended,Books_More
5,"""NewEngland"" Forests,Hiking,Trails",GUEST,"sub,any,any",1,Blended,Books_More
5,1366-2724,GUEST,issn,0,Blended,Books_More
5,38142695,GUEST,any,0,Blended,Books_More
5,5htr7 and motor neurons,Gradstudent,any,0,Blended,Books_More
5,978-0-8389-4637-4,Gradstudent,any,0,Blended,Books_More
5,978-1-118-08814-2,Undergraduate,any,0,Blended,Books_More
5,9780692400197,GUEST,any,0,Blended,Books_More
5,9781324063148,GUEST,any,0,Blended,Books_More
5,Active ribosome profiling with RiboLace: from bench to data analysis,GUEST,any,0,Blended,Books_More
5,Analyze the impact of TV coverage in response to Hurricane Katrina in 2005.,Undergraduate,any,0,Blended,Books_More
5,"Anglophone culture across centuries and borders : proceedings from an International Cultural Studies Conference (Searching for Culture-SEFOC), October",GUEST,any,0,Blended,Books_More
5,Antibiotics Simplified 5th Edition by Gallagher and MacDougall,GUEST,any,0,Blended,Books_More
5,"Atlas, S. (2023) Chatbot prompting: A guide for students, educators, and an AI-augmented workforce. Ch. 4-5.",GUEST,any,0,Blended,Books_More
5,"Bolin, Courtney, and Mary Ballard. MCI",GUEST,any,0,Blended,Books_More
5,Catnip mint,Undergraduate,sub,0,Blended,Books_More
5,Challenging the ‘good fit’ narrative: Creating inclusive recruitment practices in academic libraries.,GUEST,any,0,Blended,Books_More
5,"Chen, L., Zhang, G., Hu, M., and Liang, X. (2015). Eye movement desensitization and reprocessing versus cognitive-behavioral therapy for adult posttraumatic stress disorder: systematic review and meta-analysis. J",Gradstudent,any,0,Blended,Books_More
5,"Cortez M, Langreth R. Biogen resumes Alzheimer’s studies to offer con- troversial drug. Bloomberg News. Bloomberg. 2019. Cited 20 Aug 2021. Available from: https:// www. bnnbl oombe rg. ca/ biogen- resum es- alzhe imer-s- studi es- to- offer- contr overs ial- drug-1. 13581 52.",GUEST,any,0,Blended,Books_More
5,DSM5TR,GUEST,any,0,Blended,Books_More
5,"Ethical Approaches to Vaccine Allocation and Administration in Carceral Settings, With a Focus on Youth",GUEST,any,0,Blended,Books_More
5,"Goldstein, Byrne , Institute of Radio Engineers",Faculty,any,0,Blended,Books_More
5,"Herawi v. State of Alabama, Department of Forensic Sciences, 311 F. Supp. 2d 1335 (M.D. Ala. 2004)",GUEST,any,0,Blended,Books_More
5,Here and Somewhere Else: Stories and Poems by Grace Paley and Robert Nichols (Two By Two)Here and Somewhere Else: Stories and Poems by Grace Paley,Gradstudent,any,0,Blended,Books_More
5,"Hosoi, M., Evans, G.,",GUEST,any,0,Blended,Books_More
5,"Hunter, J., Kannegiser, S., Kiebler, J.,",GUEST,any,0,Blended,Books_More
5,ISBN: 978-1-118-08814-2,GUEST,any,0,Blended,Books_More
5,ISBN: 978-1-118-08814-2,Undergraduate,any,0,Blended,Books_More
5,Institutional investor activism and employee safety: The role of activist and board political ideology,GUEST,any,0,Blended,Books_More
5,Introduction: Able nationalism and the Geo-Politics of Disability,GUEST,any,0,Blended,Books_More
5,"Japanese views of China during the American Occupation, 1945-1949",Gradstudent,any,0,Blended,Books_More
5,José Bedia Valdéz,Undergraduate,any,0,Blended,Books_More
5,"Kendzior, N. (2021). My turn: How do you think about library advocacy? ILA Reporter, 39(2), 14-16.",Gradstudent,any,0,Blended,Books_More
5,"Leitner-Hanetseder, S., Lehner, O. M., Eisl, C.,",GUEST,any,0,Blended,Books_More
5,MarineandCoastalLawCasesandMaterials,GUEST,any,0,Blended,Books_More
5,"Martínez-Cardama, S., Caridad-Sebastián, M., Aguilar, A. G.,",GUEST,any,0,Blended,Books_More
5,"Mendoza, A. (2020). What does translanguaging-for-equity really involve? An interactional analysis of a 9th grade English class. Applied Linguistics Review.",GUEST,any,0,Blended,Books_More
5,Michelle Phillips Innocence worse than evil Turn of the Screw,GUEST,any,0,Blended,Books_More
5,Mount Sinai mounted aggressive campaign to stifle debate over revelations about its controversial brain research,GUEST,any,0,Blended,Books_More
5,"R Plonsey and RC Barr. Bioelectricity: A Quantitative Approach 3rd edition, Springer (2007)",GUEST,any,0,Blended,Books_More
5,Role and Responsibilities of AAC Manufacturers' Consultants in the SGD Funding Process,Gradstudent,any,0,Blended,Books_More
5,Routledge Handbook on Labour in Construction and Human Settlements,GUEST,any,0,Blended,Books_More
5,"Shimon Dotan’s 2018 episode of Frontline that examines Dayton, Ohio",GUEST,any,0,Blended,Books_More
5,The Blue Check of Credibility: Does Account Verification Matter When Evaluating News on Twitter?,Undergraduate,any,0,Blended,Books_More
5,The Problem with Pinkwashing: How Corporations Profit from Queerness,GUEST,any,0,Blended,Books_More
5,The need for ‘skeptical’accountants in the era of Big Data,GUEST,any,0,Blended,Books_More
5,The ‘great fire’ of Valparaiso 2014: social class differences and people’s vulnerability. a case study of wildland-urban fire,GUEST,any,0,Blended,Books_More
5,"Understanding how evidence and learning conversation work,Earl Timperley",Gradstudent,"any,creator",0,Blended,Books_More
5,Valley of Heart’s Delight: Environment and Sense of Place in the Santa Clara Valley,GUEST,any,0,Blended,Books_More
5,White Privilege and Children's Publishing: A Web 2.0 Case Study,GUEST,any,0,Blended,Books_More
5,Will Google's Keyword Searching Eliminate the Need for LC Cataloging and Classification,GUEST,any,0,Blended,Books_More
5,With Head and Heart: How Emotions Shape Paradox Navigation in Veterinary Work,Gradstudent,any,0,Blended,Books_More
5,"Zyban,Volle",Undergraduate,"any,creator",0,Blended,Books_More
5,aplos simplex,GUEST,any,0,Blended,Books_More
5,beyond budgeting or budgeting reconsidered? A survey of North-American budgeting practice,GUEST,any,0,Blended,Books_More
5,city of Bologna,GUEST,any,1,Blended,Books_More
5,competition effect on eating habits in large predators,Undergraduate,any,0,Blended,Books_More
5,discrimination in psychological research,Undergraduate,title,0,Blended,Books_More
5,environmental ethics,GUEST,title,0,Blended,Books_More
5,gendering criminology,GUEST,any,0,Local,Course_Reserves
5,"habitat destruction ,fast fashion,mass production",Undergraduate,"any,any,any",0,Blended,Books_More
5,https://doi.org/10.1016/0002-8223(94)90105-8,GUEST,any,0,Blended,Books_More
5,https://doi.org/10.1080/10572317.2019.1629070,GUEST,any,0,Blended,Books_More
5,https://doi.org/10.1080/13603124.2014.943296,GUEST,any,0,Blended,Books_More
5,paul robeson,GUEST,any,0,Blended,Books_More
5,"ri registration plates,1925",GUEST,"any,any",0,Blended,Books_More
5,studies in educational ethnography,GUEST,title,0,Blended,Books_More
5,"tetrahedron letters,zyban",Undergraduate,"any,any",0,Blended,Books_More
5,the life we choose a sibling story,GUEST,any,0,Local,Course_Reserves
